,timestamp,frontend_adservice&p50,checkoutservice_cartservice&p50,frontend_cartservice&p50,frontend_checkoutservice&p50,checkoutservice_currencyservice&p50,frontend_currencyservice&p50,checkoutservice_emailservice&p50,unknown_frontend&p50,checkoutservice_paymentservice&p50,checkoutservice_productcatalogservice&p50,frontend_productcatalogservice&p50,recommendationservice_productcatalogservice&p50,frontend_recommendationservice&p50,checkoutservice_shippingservice&p50,frontend_shippingservice&p50,frontend_adservice&p90,checkoutservice_cartservice&p90,frontend_cartservice&p90,frontend_checkoutservice&p90,checkoutservice_currencyservice&p90,frontend_currencyservice&p90,checkoutservice_emailservice&p90,unknown_frontend&p90,checkoutservice_paymentservice&p90,checkoutservice_productcatalogservice&p90,frontend_productcatalogservice&p90,recommendationservice_productcatalogservice&p90,frontend_recommendationservice&p90,checkoutservice_shippingservice&p90,frontend_shippingservice&p90,frontend_adservice&p99,checkoutservice_cartservice&p99,frontend_cartservice&p99,frontend_checkoutservice&p99,checkoutservice_currencyservice&p99,frontend_currencyservice&p99,checkoutservice_emailservice&p99,unknown_frontend&p99,checkoutservice_paymentservice&p99,checkoutservice_productcatalogservice&p99,frontend_productcatalogservice&p99,recommendationservice_productcatalogservice&p99,frontend_recommendationservice&p99,checkoutservice_shippingservice&p99,frontend_shippingservice&p99
452,2022-01-13 01:14:53,3000.0,3117.6470588235293,3077.922077922078,143750.0,2854.5454545454545,2837.1607515657615,3000.0,183898.30508474578,3000.0,1470.5882352941176,1653.8461538461534,2495.3271028037384,7051.88679245283,2571.428571428571,2906.9767441860463,4600.0,4811.764705882353,4740.259740259741,228750.0,4570.909090909091,4647.599164926931,4600.0,490350.8771929826,4600.000000000001,4294.117647058824,4343.076923076922,4499.065420560748,9485.849056603773,4514.285714285715,4581.39534883721,4960.0,9100.0,9399.99999999999,247874.99999999997,4957.090909090908,89500.00000000045,4960.000000000001,943888.8888888891,4960.0,4929.411764705883,4948.153846153845,4949.906542056075,15324.99999999993,4951.428571428571,4958.13953488372
453,2022-01-13 01:14:54,3000.0,3117.6470588235293,3077.922077922078,143750.0,2854.5454545454545,2837.1607515657615,3000.0,183898.30508474578,3000.0,487.50000000000006,1553.8461538461536,2396.2264150943397,7051.88679245283,2571.428571428571,2906.9767441860463,4600.0,4811.764705882353,4740.259740259741,228750.0,4570.909090909091,4647.599164926931,4600.0,490350.8771929826,4600.000000000001,4178.947368421053,4316.923076923077,4479.245283018868,9485.849056603773,4514.285714285715,4581.39534883721,4960.0,9100.0,9399.99999999999,247874.99999999997,4957.090909090908,89500.00000000045,4960.000000000001,943888.8888888891,4960.0,4917.894736842104,4938.615384615385,4947.924528301886,15324.99999999993,4951.428571428571,4958.13953488372
454,2022-01-13 01:14:55,3000.0,3117.6470588235293,3077.922077922078,134090.90909090906,2854.5454545454545,2837.1607515657615,3000.0,183898.30508474578,3000.0,487.50000000000006,1553.8461538461536,2396.2264150943397,7051.88679245283,2571.428571428571,2906.9767441860463,4600.0,4811.764705882353,4740.259740259741,237727.27272727268,4570.909090909091,4647.599164926931,4600.0,490350.8771929826,4600.000000000001,4178.947368421053,4316.923076923077,4479.245283018868,9485.849056603773,4514.285714285715,4581.39534883721,4960.0,9100.0,9399.99999999999,452500.00000000006,4957.090909090908,89500.00000000045,4960.000000000001,943888.8888888891,4960.0,4917.894736842104,4938.615384615385,4947.924528301886,15324.99999999993,4951.428571428571,4958.13953488372
455,2022-01-13 01:14:56,3000.0,3117.6470588235293,3077.922077922078,134090.90909090906,2854.5454545454545,2837.1607515657615,3000.0,183898.30508474578,3000.0,487.50000000000006,1553.8461538461536,2396.2264150943397,6929.824561403509,2571.428571428571,2906.9767441860463,4600.0,4811.764705882353,4740.259740259741,237727.27272727268,4570.909090909091,4647.599164926931,4600.0,490350.8771929826,4600.000000000001,4178.947368421053,4316.923076923077,4479.245283018868,9421.052631578947,4514.285714285715,4581.39534883721,4960.0,9100.0,9399.99999999999,452500.00000000006,4957.090909090908,89500.00000000045,4960.000000000001,943888.8888888891,4960.0,4917.894736842104,4938.615384615385,4947.924528301886,9981.578947368422,4951.428571428571,4958.13953488372
456,2022-01-13 01:14:57,3000.0,3060.6060606060605,3048.4848484848485,134090.90909090906,2854.5454545454545,2837.1607515657615,3000.0,183898.30508474578,3000.0,1105.263157894737,1651.7690875232774,2425.925925925926,6929.824561403509,2571.428571428571,2906.9767441860463,4600.0,4709.090909090909,4687.272727272728,237727.27272727268,4570.909090909091,4647.599164926931,4600.0,490350.8771929826,4600.000000000001,4221.0526315789475,4330.353817504656,4485.185185185186,9421.052631578947,4514.285714285715,4581.39534883721,4960.0,8299.999999999982,14649.999999999704,452500.00000000006,4957.090909090908,89500.00000000045,4960.000000000001,943888.8888888891,4960.0,4922.105263157895,4933.035381750466,4948.518518518519,9981.578947368422,4951.428571428571,4958.13953488372
457,2022-01-13 01:14:58,3000.0,3060.6060606060605,3048.4848484848485,134090.90909090906,2854.5454545454545,2837.1607515657615,3000.0,183898.30508474578,3000.0,1105.263157894737,1651.7690875232774,2425.925925925926,6929.824561403509,2571.428571428571,2906.9767441860463,4600.0,4709.090909090909,4687.272727272728,237727.27272727268,4570.909090909091,4647.599164926931,4600.0,490350.8771929826,4600.000000000001,4221.0526315789475,4330.353817504656,4485.185185185186,9421.052631578947,4514.285714285715,4581.39534883721,4960.0,8299.999999999982,14649.999999999704,452500.00000000006,4957.090909090908,89500.00000000045,4960.0,943888.8888888891,4960.0,4922.105263157895,4933.035381750466,4948.518518518519,9981.578947368422,4951.428571428571,4958.13953488372
458,2022-01-13 01:14:59,3021.052631578947,3060.6060606060605,3048.4848484848485,134090.90909090906,2854.5454545454545,2837.1607515657615,3000.0,183898.30508474578,3000.0,1105.263157894737,1651.7690875232774,2425.925925925926,6929.824561403509,2571.428571428571,2906.9767441860463,4671.578947368421,4709.090909090909,4687.272727272728,237727.27272727268,4570.909090909091,4647.599164926931,4600.0,490350.8771929826,4600.000000000001,4221.0526315789475,4330.353817504656,4485.185185185186,9421.052631578947,4514.285714285715,4581.39534883721,7549.9999999999945,8299.999999999982,14649.999999999704,452500.00000000006,4957.090909090908,89500.00000000045,4960.0,943888.8888888891,4960.0,4922.105263157895,4933.035381750466,4948.518518518519,9981.578947368422,4951.428571428571,4958.13953488372
459,2022-01-13 01:15:00,3021.052631578947,3060.6060606060605,3048.4848484848485,134090.90909090906,2854.5454545454545,2837.1607515657615,3000.0,183898.30508474578,3000.0,1105.263157894737,1651.7690875232774,2425.925925925926,6929.824561403509,2571.428571428571,2906.9767441860463,4671.578947368421,4709.090909090909,4687.272727272728,237727.27272727268,4570.909090909091,4647.599164926931,4600.0,490350.8771929826,4600.000000000001,4221.0526315789475,4330.353817504656,4485.185185185186,9421.052631578947,4514.285714285715,4581.39534883721,7549.9999999999945,8299.999999999982,14649.999999999704,452500.00000000006,4957.090909090908,89500.00000000045,4960.0,943888.8888888891,4960.0,4922.105263157895,4933.035381750466,4948.518518518519,9981.578947368422,4951.428571428571,4958.13953488372
460,2022-01-13 01:15:01,3021.052631578947,3000.0,3036.5853658536585,134090.90909090906,2854.5454545454545,2837.1607515657615,3000.0,183898.30508474578,3000.0,1105.263157894737,1651.7690875232774,2425.925925925926,6929.824561403509,2571.428571428571,2906.9767441860463,4671.578947368421,4600.0,4665.8536585365855,237727.27272727268,4570.909090909091,4647.599164926931,4600.0,490350.8771929826,4600.000000000001,4221.0526315789475,4330.353817504656,4485.185185185186,9421.052631578947,4514.285714285715,4581.39534883721,7549.9999999999945,4960.0,8325.000000000011,452500.00000000006,4957.090909090908,89500.00000000045,4960.0,943888.8888888891,4960.0,4922.105263157895,4933.035381750466,4948.518518518519,9981.578947368422,4951.428571428571,4958.13953488372
461,2022-01-13 01:15:02,3021.052631578947,3000.0,3036.5853658536585,128125.0,2854.5454545454545,2837.1607515657615,3000.0,183898.30508474578,3000.0,1105.263157894737,1651.7690875232774,2425.925925925926,6929.824561403509,2571.428571428571,2906.9767441860463,4671.578947368421,4600.0,4665.8536585365855,240625.0,4570.909090909091,4647.599164926931,4600.0,490350.8771929826,4600.000000000001,4221.0526315789475,4330.353817504656,4485.185185185186,9421.052631578947,4514.285714285715,4581.39534883721,7549.9999999999945,4960.0,8325.000000000011,462500.0,4957.090909090908,89500.00000000045,4960.0,943888.8888888891,4960.0,4922.105263157895,4933.035381750466,4948.518518518519,9981.578947368422,4951.428571428571,4958.13953488372
