timestamp,frontend_adservice&p50,checkoutservice_cartservice&p50,frontend_cartservice&p50,frontend_checkoutservice&p50,checkoutservice_currencyservice&p50,frontend_currencyservice&p50,checkoutservice_emailservice&p50,istio-ingressgateway_frontend&p50,unknown_frontend&p50,checkoutservice_paymentservice&p50,checkoutservice_productcatalogservice&p50,frontend_productcatalogservice&p50,recommendationservice_productcatalogservice&p50,frontend_recommendationservice&p50,checkoutservice_shippingservice&p50,frontend_shippingservice&p50,frontend_adservice&p90,checkoutservice_cartservice&p90,frontend_cartservice&p90,frontend_checkoutservice&p90,checkoutservice_currencyservice&p90,frontend_currencyservice&p90,checkoutservice_emailservice&p90,istio-ingressgateway_frontend&p90,unknown_frontend&p90,checkoutservice_paymentservice&p90,checkoutservice_productcatalogservice&p90,frontend_productcatalogservice&p90,recommendationservice_productcatalogservice&p90,frontend_recommendationservice&p90,checkoutservice_shippingservice&p90,frontend_shippingservice&p90,frontend_adservice&p99,checkoutservice_cartservice&p99,frontend_cartservice&p99,frontend_checkoutservice&p99,checkoutservice_currencyservice&p99,frontend_currencyservice&p99,checkoutservice_emailservice&p99,istio-ingressgateway_frontend&p99,unknown_frontend&p99,checkoutservice_paymentservice&p99,checkoutservice_productcatalogservice&p99,frontend_productcatalogservice&p99,recommendationservice_productcatalogservice&p99,frontend_recommendationservice&p99,checkoutservice_shippingservice&p99,frontend_shippingservice&p99
2023-09-25 02:07:44,0.25,,13.75,,,0.34375,,37.5,,,,0.3125,,,,,0.45,,22.75,,,3.5333333333333323,,47.5,,,,3.0,,,,,0.49500000000000005,,24.775,,,4.8533333333333335,,49.75,,,,4.799999999999999,,,,
2023-09-25 02:07:49,0.25,,5.0,,,0.5,,37.5,,,,0.375,,,,,0.45,,22.0,,,4.199999999999999,,47.5,,,,3.8000000000000007,,,,,0.49500000000000005,,24.700000000000003,,,4.92,,49.75,,,,4.88,,,,
2023-09-25 02:07:54,,,,,,0.5,,37.5,,,,0.4166666666666667,3.0,,,,,,,,,4.199999999999999,,47.5,,,,4.0,4.6,,,,,,,,,4.92,,49.75,,,,4.8999999999999995,4.960000000000001,,,
2023-09-25 02:07:59,3.0,,,,,0.5,,75.0,,,,0.4166666666666667,3.0,,,,4.6,,,,,4.199999999999999,,24000.000000000004,,,,4.0,4.6,,,,4.960000000000001,,,,,4.92,,29400.0,,,,4.8999999999999995,4.960000000000001,,,
2023-09-25 02:08:04,3.0,,17.5,,,0.4285714285714286,,75.0,,,,0.375,3.0,20000.0,,,4.6,,23.5,,,4.040000000000001,,24000.000000000004,,,,3.8000000000000007,4.6,28000.0,,,4.960000000000001,,24.85,,,4.904,,29400.0,,,,4.88,4.960000000000001,29800.000000000004,,
2023-09-25 02:08:09,3.0,,5.0,,,0.4285714285714286,,75.0,,,,1.6666666666666665,0.25,20000.0,,,4.6,,22.0,,,4.040000000000001,,24000.000000000004,,,,4.333333333333334,0.45,28000.0,,,4.960000000000001,,24.700000000000003,,,4.904,,29400.0,,,,4.933333333333333,0.49500000000000005,29800.000000000004,,
2023-09-25 02:08:14,3.0,,5.0,,,0.4285714285714286,,175.0,,,,1.6666666666666665,0.25,50.0,,,4.6,,22.0,,,4.040000000000001,,235.0,,,,4.333333333333334,0.45,26000.0,,,4.96,,24.700000000000003,,,4.904,,248.50000000000003,,,,4.933333333333333,0.49500000000000005,29600.000000000004,,
2023-09-25 02:08:19,3.0,,3.0,,,0.4375,,175.0,,,,1.3333333333333333,0.25,37.5,,,4.6,,4.6,,,4.066666666666667,,235.0,,,,4.266666666666667,0.45,47.5,,,4.96,,4.960000000000001,,,4.906666666666667,,248.50000000000003,,,,4.926666666666668,0.49500000000000005,49.75,,
2023-09-25 02:08:24,0.5,,13.75,,,0.4375,,175.0,,,,0.3125,0.5,37.5,,,4.199999999999999,,22.75,,,4.066666666666667,,235.0,,,,3.0,4.199999999999999,47.5,,,4.92,,24.775,,,4.906666666666667,,248.50000000000003,,,,4.799999999999999,4.92,49.75,,
2023-09-25 02:08:29,0.375,,13.75,,,0.4375,,50.0,,,,0.3125,0.5,5.0,,3.0,3.8000000000000007,,22.75,,,4.066666666666667,,190.0,,,,3.0,4.199999999999999,45.0,,4.6,4.88,,24.775,,,4.906666666666667,,244.00000000000003,,,,4.799999999999999,4.92,49.5,,4.960000000000001
2023-09-25 02:08:34,0.375,,15.624687552074654,,,0.36111111111111116,,50.0,,,,0.32142857142857145,3.0,5.0,,3.0,3.8000000000000007,,23.12493751041493,,,3.7,,190.0,,,,3.200000000000003,4.6,9.0,,4.6,4.88,,24.812493751041494,,,4.869999999999999,,244.00000000000003,,,,4.82,4.960000000000001,9.9,,4.960000000000001
2023-09-25 02:08:39,3.0,,13.74875,,,0.36111111111111116,,50.0,,,,1.5,3.0,5.0,,3.0,4.6,,22.74975,,,3.7,,190.0,,,,4.300000000000001,4.6,9.0,,4.6,4.960000000000001,,24.774974999999998,,,4.869999999999999,,244.00000000000003,,,,4.93,4.960000000000001,9.9,,4.960000000000001
2023-09-25 02:08:44,,,13.74875,,,0.36111111111111116,,50.0,,,,1.5,3.0,10.0,,,,,22.74975,,,3.7,,220.0,,,,4.300000000000001,4.6,45.0,,,,,24.774974999999998,,,4.869999999999999,,247.0,,,,4.93,4.960000000000001,49.5,,
2023-09-25 02:08:49,,,3.0,,,0.4375,,50.0,,,,1.5,3.0,37.5,,,,,4.6,,,4.066666666666667,,220.0,,,,4.300000000000001,4.6,47.5,,,,,4.960000000000001,,,4.906666666666667,,247.0,,,,4.93,4.960000000000001,49.75,,
2023-09-25 02:08:54,0.25,,5.0,,,0.4375,,50.0,,,,0.39999999999999997,3.0,37.5,,,0.45,,22.0,,,4.066666666666667,,220.0,,,,3.9333333333333327,4.6,47.5,,,0.49500000000000005,,24.700000000000003,,,4.906666666666667,,247.0,,,,4.893333333333334,4.960000000000001,49.75,,
2023-09-25 02:08:59,0.5,,5.0,,,0.4375,,175.0,,,,0.39999999999999997,3.0,,,,4.199999999999999,,22.0,,,4.066666666666667,,235.0,,,,3.9333333333333327,4.6,,,,4.92,,24.700000000000003,,,4.906666666666667,,248.50000000000003,,,,4.893333333333334,4.960000000000001,,,
2023-09-25 02:09:04,0.5,,5.0,,,2.0,,175.0,,,,0.37499999999999994,3.0,20000.0,,,4.199999999999999,,22.0,,,4.4,,235.0,,,,3.8000000000000007,4.6,28000.0,,,4.92,,24.700000000000003,,,4.9399999999999995,,248.50000000000003,,,,4.88,4.960000000000001,29800.000000000004,,
