timestamp,details-v1&count,productpage-v1&count,ratings-v1&count,reviews-v1&count,reviews-v2&count,reviews-v3&count
2023-09-24 07:29:35,2.0,1.0,2.0,2.0,3.0,1.0
2023-09-24 07:29:40,2.0,1.0,2.0,2.0,3.0,1.0
2023-09-24 07:29:45,2.0,1.0,2.0,2.0,3.0,1.0
2023-09-24 07:29:50,2.0,1.0,2.0,2.0,3.0,1.0
2023-09-24 07:29:55,2.0,1.0,2.0,2.0,3.0,1.0
2023-09-24 07:30:00,2.0,1.0,2.0,2.0,3.0,1.0
2023-09-24 07:30:05,2.0,1.0,2.0,2.0,3.0,1.0
2023-09-24 07:30:10,2.0,1.0,2.0,2.0,3.0,1.0
2023-09-24 07:30:15,2.0,1.0,2.0,2.0,3.0,1.0
2023-09-24 07:30:20,2.0,1.0,2.0,2.0,3.0,1.0
2023-09-24 07:30:25,2.0,1.0,2.0,2.0,3.0,1.0
2023-09-24 07:30:30,2.0,1.0,2.0,2.0,3.0,1.0
2023-09-24 07:30:35,2.0,1.0,2.0,2.0,3.0,1.0
2023-09-24 07:30:40,2.0,1.0,2.0,2.0,3.0,1.0
2023-09-24 07:30:45,2.0,1.0,2.0,2.0,3.0,1.0
2023-09-24 07:30:50,2.0,1.0,2.0,2.0,3.0,1.0
2023-09-24 07:30:55,2.0,1.0,2.0,2.0,3.0,1.0
2023-09-24 07:31:00,2.0,1.0,2.0,2.0,3.0,1.0
2023-09-24 07:31:05,2.0,1.0,2.0,2.0,3.0,1.0
2023-09-24 07:31:10,2.0,1.0,2.0,2.0,3.0,1.0
2023-09-24 07:31:15,2.0,1.0,2.0,2.0,3.0,1.0
2023-09-24 07:31:20,2.0,1.0,2.0,2.0,3.0,1.0
2023-09-24 07:31:25,2.0,1.0,2.0,2.0,3.0,1.0
2023-09-24 07:31:30,2.0,1.0,2.0,2.0,3.0,1.0
2023-09-24 07:31:35,2.0,1.0,2.0,2.0,3.0,1.0
2023-09-24 07:31:40,2.0,1.0,2.0,2.0,3.0,1.0
2023-09-24 07:31:45,2.0,1.0,2.0,2.0,3.0,1.0
2023-09-24 07:31:50,2.0,1.0,2.0,2.0,3.0,1.0
