timestamp,details-v1,productpage-v1,ratings-v1,reviews-v1,reviews-v2,reviews-v3
2023-09-24 06:44:01,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:44:06,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:44:11,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:44:16,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:44:21,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:44:26,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:44:31,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:44:36,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:44:41,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:44:46,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:44:51,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:44:56,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:45:01,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:45:06,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:45:11,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:45:16,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:45:21,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:45:26,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:45:31,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:45:36,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:45:41,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:45:46,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:45:51,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:45:56,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:46:01,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:46:06,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:46:11,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:46:16,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:46:21,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:46:26,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:46:31,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:46:36,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:46:41,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:46:46,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:46:51,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:46:56,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:47:01,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:47:06,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:47:11,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:47:16,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:47:21,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:47:26,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:47:31,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:47:36,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:47:41,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:47:46,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:47:51,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:47:56,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:48:01,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:48:06,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:48:11,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:48:16,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:48:21,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:48:26,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:48:31,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:48:36,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:48:41,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:48:46,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:48:51,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:48:56,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:49:01,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:49:06,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:49:11,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:49:16,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:49:21,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:49:26,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:49:31,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:49:36,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:49:41,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:49:46,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:49:51,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:49:56,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:50:01,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:50:06,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:50:11,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:50:16,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:50:21,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:50:26,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:50:31,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:50:36,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:50:41,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:50:46,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:50:51,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:50:56,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:51:01,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:51:06,1.0,1.0,1.0,1.0,1.0,1.0
2023-09-24 06:51:11,1.0,1.0,1.0,1.0,1.0,1.0
