timestamp,details-v1&p50,productpage-v1&p50,ratings-v1&p50,reviews-v1&p50,reviews-v2&p50,reviews-v3&p50,details-v1&p90,productpage-v1&p90,ratings-v1&p90,reviews-v1&p90,reviews-v2&p90,reviews-v3&p90,details-v1&p99,productpage-v1&p99,ratings-v1&p99,reviews-v1&p99,reviews-v2&p99,reviews-v3&p99
2023-09-24 07:29:35,0.4021739130434783,67.56756756756756,0.25396825396825395,0.25,15.625,5.0,4.051851851851852,2624.9999999999986,0.45714285714285713,0.45,3888.888888888889,22.0,31.499999999999975,4762.500000000002,2.4400000000000066,0.495,4888.888888888889,24.699999999999996
2023-09-24 07:29:40,0.4021739130434783,67.24137931034483,0.25396825396825395,0.2638888888888889,15.625,10.833333333333334,4.051851851851852,2944.444444444447,0.45714285714285713,0.475,3888.888888888889,24.833333333333336,31.499999999999975,4794.444444444445,2.4400000000000066,4.240000000000004,4888.888888888889,47.375
2023-09-24 07:29:45,0.337962962962963,67.24137931034483,0.25,0.2638888888888889,13.409090909090907,10.833333333333334,3.463157894736844,2944.444444444447,0.45,0.475,3805.5555555555547,24.833333333333336,4.846315789473684,4794.444444444445,0.49500000000000005,4.240000000000004,4880.555555555556,47.375
2023-09-24 07:29:50,0.33636363636363636,67.24137931034483,0.25,0.2638888888888889,12.045454545454543,10.833333333333334,3.4421052631578952,2944.444444444447,0.45,0.475,3464.2857142857138,24.833333333333336,4.8442105263157895,4794.444444444445,0.49500000000000005,4.240000000000004,4846.428571428572,47.375
2023-09-24 07:29:55,0.33636363636363636,64.16666666666666,0.25,0.25,12.045454545454543,5.0,3.4421052631578952,1637.5,0.45,0.45,3464.2857142857138,33.33333333333333,4.8442105263157895,4635.0,0.49500000000000005,0.49499999999999994,4846.428571428572,48.33333333333332
2023-09-24 07:30:00,0.35909090909090907,64.16666666666666,0.25,0.25,11.666666666666666,5.0,3.6833333333333336,1637.5,0.45,0.45,3500.0000000000014,33.33333333333333,4.868333333333332,4635.0,0.495,0.49499999999999994,4850.0,48.33333333333332
2023-09-24 07:30:05,0.36111111111111116,64.16666666666666,0.25,0.25,11.666666666666666,5.0,3.7000000000000015,1637.5,0.45,0.45,3000.0000000000014,33.33333333333333,4.869999999999999,4635.0,0.495,0.49499999999999994,4799.999999999998,48.33333333333332
2023-09-24 07:30:10,0.36111111111111116,67.64705882352942,0.25,0.2631578947368421,11.666666666666666,5.0,3.7000000000000015,1960.0000000000032,0.45,0.4736842105263158,3000.0000000000014,22.0,4.869999999999999,4674.999999999997,0.495,8.999999999999993,4799.999999999998,24.699999999999996
2023-09-24 07:30:15,0.339622641509434,67.64705882352942,0.25,0.2631578947368421,12.249999999999996,5.0,3.484210526315792,1960.0000000000032,0.45,0.4736842105263158,3050.0,22.0,4.848421052631579,4674.999999999997,0.495,8.999999999999993,4805.000000000002,24.699999999999996
2023-09-24 07:30:20,0.33482142857142855,67.64705882352942,0.25,0.2631578947368421,13.75,5.0,3.4210526315789473,1960.0000000000032,0.45,0.4736842105263158,3291.666666666668,22.0,4.842105263157896,4674.999999999997,0.495,8.999999999999993,4829.166666666666,24.699999999999996
2023-09-24 07:30:25,0.33482142857142855,65.0,0.25,0.2625,13.75,4.818181818181818,3.4210526315789473,1750.0,0.45,0.47250000000000003,3291.666666666668,24.8125,4.842105263157896,4687.500000000002,0.495,4.159999999999999,4829.166666666666,47.375
2023-09-24 07:30:30,0.39499999999999996,65.0,0.25,0.2625,14.16666666666667,4.818181818181818,4.014285714285716,1750.0,0.45,0.47250000000000003,3291.666666666668,24.8125,30.250000000000036,4687.500000000002,0.495,4.159999999999999,4829.166666666666,47.375
2023-09-24 07:30:35,0.4055555555555556,65.0,0.25,0.2625,15.833333333333334,4.818181818181818,4.066666666666668,1750.0,0.45,0.47250000000000003,3718.749999999999,24.8125,31.75000000000019,4687.500000000002,0.495,4.159999999999999,4871.875,47.375
2023-09-24 07:30:40,0.4055555555555556,62.96296296296297,0.25,0.25,15.833333333333334,5.0,4.066666666666668,1975.0000000000027,0.45,0.45,3718.749999999999,22.0,31.75000000000019,6300.000000000044,0.495,0.49499999999999994,4871.875,24.699999999999996
2023-09-24 07:30:45,0.3776595744680851,62.96296296296297,0.25431034482758624,0.25,15.833333333333332,5.0,3.9391304347826095,1975.0000000000027,0.4577586206896552,0.45,3781.250000000001,22.0,32.25000000000013,6300.000000000044,2.6400000000000006,0.49499999999999994,4878.125000000001,24.699999999999996
2023-09-24 07:30:50,0.37999999999999995,62.96296296296297,0.25431034482758624,0.25,12.500000000000002,5.0,4.066666666666665,1975.0000000000027,0.4577586206896552,0.45,3678.5714285714294,22.0,40.500000000000014,6300.000000000044,2.6400000000000006,0.49499999999999994,4867.857142857143,24.699999999999996
2023-09-24 07:30:55,0.37999999999999995,75.71428571428572,0.25431034482758624,0.25,12.500000000000002,10.833333333333334,4.066666666666665,2833.333333333337,0.4577586206896552,0.44999999999999996,3678.5714285714294,24.833333333333336,40.500000000000014,4783.333333333331,2.6400000000000006,0.495,4867.857142857143,47.375
2023-09-24 07:31:00,0.35909090909090907,75.71428571428572,0.25,0.25,13.75,10.833333333333334,3.8000000000000016,2833.333333333337,0.45000000000000007,0.44999999999999996,3500.0,24.833333333333336,30.250000000000036,4783.333333333331,0.49499999999999994,0.495,4850.0,47.375
