timestamp,details-v1&p50,ratings-v1&p50,reviews-v1&p50,reviews-v2&p50,reviews-v3&p50,details-v1&p90,ratings-v1&p90,reviews-v1&p90,reviews-v2&p90,reviews-v3&p90,details-v1&p99,ratings-v1&p99,reviews-v1&p99,reviews-v2&p99,reviews-v3&p99
2026-03-25 10:32:00,,,,,,,,,,,,,,,
2026-03-25 10:32:05,,,,,,,,,,,,,,,
2026-03-25 10:32:10,,,,,,,,,,,,,,,
2026-03-25 10:32:15,7.5,,,,,9.5,,,,,9.950000000000001,,,,
2026-03-25 10:32:20,7.5,4.0,3.0,,20.0,9.5,8.5,4.6,,80.0,9.950000000000001,9.85,4.96,,98.00000000000001
2026-03-25 10:32:25,7.5,4.0,3.0,19.375,20.0,9.5,8.5,4.6,75.0,80.0,9.950000000000001,9.85,4.96,97.49999999999999,98.00000000000001
2026-03-25 10:32:30,4.882352941176471,4.0,3.0,19.375,20.0,8.96875,8.5,4.6,75.0,80.0,9.896875,9.85,4.96,97.49999999999999,98.00000000000001
2026-03-25 10:32:35,4.882352941176471,3.9999999999999996,3.0,19.375,16.25,8.96875,8.5,4.6,75.0,23.25,9.896875,9.85,4.96,97.49999999999999,24.825
2026-03-25 10:32:40,4.882352941176471,3.9999999999999996,3.0,15.625,16.25,8.96875,8.5,4.6,23.125,23.25,9.896875,9.85,4.96,24.8125,24.825
2026-03-25 10:32:45,4.84,3.9999999999999996,3.0,15.625,16.25,8.956521739130435,8.5,4.6,23.125,23.25,9.895652173913042,9.85,4.96,24.8125,24.825
2026-03-25 10:32:50,4.84,3.714285714285714,3.0,15.625,16.710526315789473,8.956521739130435,8.444444444444443,4.6,23.125,23.97368421052632,9.895652173913042,19.300000000000008,4.96,24.8125,88.49999999999997
2026-03-25 10:32:55,4.84,3.714285714285714,3.0,16.42857142857143,16.710526315789473,8.956521739130435,8.444444444444443,4.6,23.285714285714285,23.97368421052632,9.895652173913042,19.300000000000008,4.96,24.82857142857143,88.49999999999997
2026-03-25 10:33:00,4.25,3.714285714285714,3.0,16.42857142857143,16.710526315789473,8.794871794871796,8.444444444444443,4.6,23.285714285714285,23.97368421052632,9.994871794871795,19.300000000000008,4.96,24.82857142857143,88.49999999999997
2026-03-25 10:33:05,4.25,3.6666666666666665,3.064516129032258,16.42857142857143,16.290322580645164,8.794871794871796,8.166666666666666,4.716129032258063,23.285714285714285,23.258064516129036,9.994871794871795,13.600000000000016,8.400000000000004,24.82857142857143,24.825806451612902
2026-03-25 10:33:10,4.25,3.6666666666666665,3.064516129032258,16.397058823529413,16.290322580645164,8.794871794871796,8.166666666666666,4.716129032258063,23.63235294117647,23.258064516129036,9.994871794871795,13.600000000000016,8.400000000000004,79.49999999999999,24.825806451612902
2026-03-25 10:33:15,4.25,3.6666666666666665,3.064516129032258,16.397058823529413,16.290322580645164,8.794871794871796,8.166666666666666,4.716129032258063,23.63235294117647,23.258064516129036,9.994871794871795,13.600000000000016,8.400000000000004,79.49999999999999,24.825806451612902
2026-03-25 10:33:20,4.25,3.466666666666667,3.0,16.397058823529413,15.454545454545453,8.794871794871796,7.3571428571428585,4.6,23.63235294117647,23.454545454545453,9.994871794871795,9.735714285714286,4.96,79.49999999999999,78.00000000000001
2026-03-25 10:33:25,4.25,3.466666666666667,3.0,16.397058823529413,15.454545454545453,8.794871794871796,7.3571428571428585,4.6,23.63235294117647,23.454545454545453,9.994871794871795,9.735714285714286,4.96,79.49999999999999,78.00000000000001
2026-03-25 10:33:30,3.7860696517412937,3.466666666666667,3.0,16.397058823529413,15.454545454545453,8.400000000000002,7.3571428571428585,4.6,23.63235294117647,23.454545454545453,14.50000000000006,9.735714285714286,4.96,79.49999999999999,78.00000000000001
2026-03-25 10:33:35,3.7860696517412937,3.3499999999999996,3.0363636363636366,16.397058823529413,16.08108108108108,8.400000000000002,6.916666666666663,4.665454545454546,23.63235294117647,23.216216216216218,14.50000000000006,17.95,7.200000000000017,79.49999999999999,24.82162162162162
2026-03-25 10:33:40,3.7860696517412937,3.3499999999999996,3.0363636363636366,15.08064516129032,16.08108108108108,8.400000000000002,6.916666666666663,4.665454545454546,23.596774193548384,23.216216216216218,14.50000000000006,17.95,7.200000000000017,42.66666666666667,24.82162162162162
