Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,332,0,75,128.68244951806193,68.80875200113223,999.7629289991892,2080.0,1.093491890844914,0.0,75,77,79,83,400,480,520,530,1000,1000,1000
GET,/productpage?u=normal,1590,1,610.0,1083.8213347402632,66.61157500093395,15452.012306001052,12983.842767295597,5.236903935070521,0.003293650273629259,610,820,950,1100,1800,5400,5700,6000,12000,15000,15000
GET,/productpage?u=test,1577,0,620.0,1044.3836780165047,226.59825200025807,14784.186721999504,13140.064045656309,5.194086481513342,0.0,620,800,930,1000,1600,5200,5600,5900,10000,15000,15000
,Aggregated,3499,1,560.0,975.4191356699171,66.61157500093395,15452.012306001052,12019.648756787654,11.524482307428777,0.003293650273629259,560,750,900,980,1600,5200,5600,5900,11000,15000,15000
