timestamp,details-v1-bf9f794fb-zxrkg_cpu,productpage-v1-649f4b6b86-h6nsx_cpu,ratings-v1-5f7bb6dbdd-hb8rk_cpu,reviews-v1-665cdc9c56-bnc58_cpu,reviews-v2-78f7489cc8-kfj2q_cpu,reviews-v3-7778f74db8-bk7k6_cpu,details-v1-bf9f794fb-zxrkg_memory,productpage-v1-649f4b6b86-h6nsx_memory,ratings-v1-5f7bb6dbdd-hb8rk_memory,reviews-v1-665cdc9c56-bnc58_memory,reviews-v2-78f7489cc8-kfj2q_memory,reviews-v3-7778f74db8-bk7k6_memory,reviews-v3-7778f74db8-bk7k6_network,reviews-v2-78f7489cc8-kfj2q_network,productpage-v1-649f4b6b86-h6nsx_network,reviews-v1-665cdc9c56-bnc58_network,details-v1-bf9f794fb-zxrkg_network,ratings-v1-5f7bb6dbdd-hb8rk_network
2026-03-25 10:32:00,0.0,5.826404833320946,0.0,5.086256966660585,3.1474631000037334,1.5671911333356547,63.40608,314.875904,31.10912,116.187136,119.013376,122.998784,900.0,996.4544444444444,7557.404444444445,393.3611111111111,922.1344444444445,759.9211111111111
2026-03-25 10:32:05,0.0,4.812755433340499,0.010713500000036902,3.8114532333414295,3.7273858333264798,5.9288810333328,63.40608,314.875904,31.10912,116.187136,119.013376,122.998784,1104.4544444444446,653.6544444444444,2728.3211111111113,414.80111111111114,958.9344444444444,839.0677777777777
2026-03-25 10:32:10,0.0,4.812755433340499,0.010713500000036902,3.8114532333414295,3.7273858333264798,5.9288810333328,63.40608,314.875904,31.10912,116.187136,119.013376,122.998784,1104.4544444444446,653.6544444444444,2728.3211111111113,414.80111111111114,958.9344444444444,839.0677777777777
2026-03-25 10:32:15,0.0,4.812755433340499,0.010713500000036902,3.8114532333414295,3.7273858333264798,5.9288810333328,63.40608,314.875904,31.10912,116.187136,119.013376,122.998784,1104.4544444444446,653.6544444444444,2728.3211111111113,414.80111111111114,958.9344444444444,839.0677777777777
2026-03-25 10:32:20,0.0,4.812755433340499,0.010713500000036902,3.8114532333414295,3.7273858333264798,5.9288810333328,63.40608,314.875904,31.10912,116.187136,119.013376,122.998784,1104.4544444444446,653.6544444444444,2728.3211111111113,414.80111111111114,958.9344444444444,839.0677777777777
2026-03-25 10:32:25,0.0,4.812755433340499,0.010713500000036902,3.8114532333414295,3.7273858333264798,5.9288810333328,63.40608,314.875904,31.10912,116.187136,119.013376,122.998784,1104.4544444444446,653.6544444444444,2728.3211111111113,414.80111111111114,958.9344444444444,839.0677777777777
2026-03-25 10:32:30,0.0,4.812755433340499,0.010713500000036902,3.8114532333414295,3.7273858333264798,5.9288810333328,63.40608,314.875904,31.10912,116.187136,119.013376,122.998784,1104.4544444444446,653.6544444444444,2728.3211111111113,414.80111111111114,958.9344444444444,839.0677777777777
2026-03-25 10:32:35,5.701173499999376,31.225747099991473,0.6206839666665095,2.6580237666621542,5.636840066669416,5.736824300007963,63.741952,315.031552,31.223808,116.187136,119.033856,123.015168,1225.0,600.25,1700.187777777778,510.76000000000005,952.7511111111112,802.7777777777777
2026-03-25 10:32:40,5.701173499999376,31.225747099991473,0.6206839666665095,2.6580237666621542,5.636840066669416,5.736824300007963,63.741952,315.031552,31.223808,116.187136,119.033856,123.015168,1225.0,600.25,1700.187777777778,510.76000000000005,952.7511111111112,802.7777777777777
2026-03-25 10:32:45,5.701173499999376,31.225747099991473,0.6206839666665095,2.6580237666621542,5.636840066669416,5.736824300007963,63.741952,315.031552,31.223808,116.187136,119.033856,123.015168,1225.0,600.25,1700.187777777778,510.76000000000005,952.7511111111112,802.7777777777777
2026-03-25 10:32:50,5.701173499999376,31.225747099991473,0.6206839666665095,2.6580237666621542,5.636840066669416,5.736824300007963,63.741952,315.031552,31.223808,116.187136,119.033856,123.015168,1225.0,600.25,1700.187777777778,510.76000000000005,952.7511111111112,802.7777777777777
2026-03-25 10:32:55,5.701173499999376,31.225747099991473,0.6206839666665095,2.6580237666621542,5.636840066669416,5.736824300007963,63.741952,315.031552,31.223808,116.187136,119.033856,123.015168,1225.0,600.25,1700.187777777778,510.76000000000005,952.7511111111112,802.7777777777777
2026-03-25 10:33:00,5.701173499999376,31.225747099991473,0.6206839666665095,2.6580237666621542,5.636840066669416,5.736824300007963,63.741952,315.031552,31.223808,116.187136,119.033856,123.015168,1225.0,600.25,1700.187777777778,510.76000000000005,952.7511111111112,802.7777777777777
2026-03-25 10:33:05,22.9954660333334,126.71430406665726,4.301462966666728,4.5350127333373775,13.65857183333598,13.220373533325375,63.93856,315.129856,31.248384,116.187136,119.033856,123.02336,416.15999999999997,3290.9344444444446,38638.45444444444,532.0711111111111,1413.7600000000002,1713.9599999999998
2026-03-25 10:33:10,22.9954660333334,126.71430406665726,4.301462966666728,4.5350127333373775,13.65857183333598,13.220373533325375,63.93856,315.129856,31.248384,116.187136,119.033856,123.02336,416.15999999999997,3290.9344444444446,38638.45444444444,532.0711111111111,1413.7600000000002,1713.9599999999998
