details-v1&cpu_usage,details-v1&cpu_limit,details-v1&mem_usage,details-v1&mem_usage_rate,details-v1&mem_limit,details-v1&fs_usage,details-v1&fs_write,details-v1&fs_read,details-v1&net_receive,details-v1&net_trainsmit,productpage-v1&cpu_usage,productpage-v1&cpu_limit,productpage-v1&mem_usage,productpage-v1&mem_usage_rate,productpage-v1&mem_limit,productpage-v1&fs_usage,productpage-v1&fs_write,productpage-v1&fs_read,productpage-v1&net_receive,productpage-v1&net_trainsmit,ratings-v1&cpu_usage,ratings-v1&cpu_limit,ratings-v1&mem_usage,ratings-v1&mem_usage_rate,ratings-v1&mem_limit,ratings-v1&fs_usage,ratings-v1&fs_write,ratings-v1&fs_read,ratings-v1&net_receive,ratings-v1&net_trainsmit,reviews-v1&cpu_usage,reviews-v1&cpu_limit,reviews-v1&mem_usage,reviews-v1&mem_usage_rate,reviews-v1&mem_limit,reviews-v1&fs_usage,reviews-v1&fs_write,reviews-v1&fs_read,reviews-v1&net_receive,reviews-v1&net_trainsmit,reviews-v2&cpu_usage,reviews-v2&cpu_limit,reviews-v2&mem_usage,reviews-v2&mem_usage_rate,reviews-v2&mem_limit,reviews-v2&fs_usage,reviews-v2&fs_write,reviews-v2&fs_read,reviews-v2&net_receive,reviews-v2&net_trainsmit,reviews-v3&cpu_usage,reviews-v3&cpu_limit,reviews-v3&mem_usage,reviews-v3&mem_usage_rate,reviews-v3&mem_limit,reviews-v3&fs_usage,reviews-v3&fs_write,reviews-v3&fs_read,reviews-v3&net_receive,reviews-v3&net_trainsmit,timestamp
0.026508664733288848,0.0,278.90234375,0.0036458333333333334,1024.0,0.0,0.0,0.0,2.15693359375,74.93766276041667,0.03614118006671561,0.0,811.28515625,16.448177083333334,1024.0,0.0,0.0,0.0,3.9869791666666665,165.71442057291668,0.01586490880001392,0.0,220.390625,0.0015625,1024.0,0.0,0.0,0.0,0.8973958333333333,29.681412760416666,0.022506963633304622,0.0,371.8125,6.199739583333333,1024.0,0.0,0.0,0.0,2.238509114583333,71.19055989583333,0.028954987299933538,0.0,379.4609375,0.0,1024.0,0.0,0.0,0.0,1.2260091145833334,39.46708984375,0.03322470056667347,0.0,417.51171875,9.800651041666667,1024.0,0.0,0.0,0.0,2.12529296875,72.36878255208333,2026-03-25 10:08:20
0.026508664733288848,0.0,278.90234375,0.0036458333333333334,1024.0,0.0,0.0,0.0,2.15693359375,74.93766276041667,0.03614118006671561,0.0,811.28515625,16.448177083333334,1024.0,0.0,0.0,0.0,3.9869791666666665,165.71442057291668,0.01586490880001392,0.0,220.390625,0.0015625,1024.0,0.0,0.0,0.0,0.8973958333333333,29.681412760416666,0.022506963633304622,0.0,371.8125,6.199739583333333,1024.0,0.0,0.0,0.0,2.238509114583333,71.19055989583333,0.028954987299933538,0.0,379.4609375,0.0,1024.0,0.0,0.0,0.0,1.2260091145833334,39.46708984375,0.03322470056667347,0.0,417.51171875,9.800651041666667,1024.0,0.0,0.0,0.0,2.12529296875,72.36878255208333,2026-03-25 10:08:25
0.026508664733288848,0.0,278.90234375,0.0036458333333333334,1024.0,0.0,0.0,0.0,2.15693359375,74.93766276041667,0.03614118006671561,0.0,811.28515625,16.448177083333334,1024.0,0.0,0.0,0.0,3.9869791666666665,165.71442057291668,0.01586490880001392,0.0,220.390625,0.0015625,1024.0,0.0,0.0,0.0,0.8973958333333333,29.681412760416666,0.022506963633304622,0.0,371.8125,6.199739583333333,1024.0,0.0,0.0,0.0,2.238509114583333,71.19055989583333,0.028954987299933538,0.0,379.4609375,0.0,1024.0,0.0,0.0,0.0,1.2260091145833334,39.46708984375,0.03322470056667347,0.0,417.51171875,9.800651041666667,1024.0,0.0,0.0,0.0,2.12529296875,72.36878255208333,2026-03-25 10:08:30
0.018932757733362372,0.0,279.37890625,0.015885416666666666,1024.0,0.0,0.0,0.0,2.2669921875,80.74615885416667,0.03731402779991792,0.0,817.08203125,0.19322916666666667,1024.0,0.0,0.0,0.0,4.2966796875,169.75966796875,0.01863743379999718,0.0,221.125,0.02447916666666667,1024.0,0.0,0.0,0.0,2.540787760416667,88.55042317708333,0.030111213633351026,0.0,371.921875,0.0036458333333333334,1024.0,0.0,0.0,0.0,0.8071940104166667,24.796516927083335,0.021913062166686356,0.0,379.4765625,0.0005208333333333333,1024.0,0.0,0.0,0.0,2.4730794270833334,85.92473958333333,0.030319567066650656,0.0,417.83984375,0.0109375,1024.0,0.0,0.0,0.0,2.457877604166667,90.3271484375,2026-03-25 10:08:35
0.018932757733362372,0.0,279.37890625,0.015885416666666666,1024.0,0.0,0.0,0.0,2.2669921875,80.74615885416667,0.03731402779991792,0.0,817.08203125,0.19322916666666667,1024.0,0.0,0.0,0.0,4.2966796875,169.75966796875,0.01863743379999718,0.0,221.125,0.02447916666666667,1024.0,0.0,0.0,0.0,2.540787760416667,88.55042317708333,0.030111213633351026,0.0,371.921875,0.0036458333333333334,1024.0,0.0,0.0,0.0,0.8071940104166667,24.796516927083335,0.021913062166686356,0.0,379.4765625,0.0005208333333333333,1024.0,0.0,0.0,0.0,2.4730794270833334,85.92473958333333,0.030319567066650656,0.0,417.83984375,0.0109375,1024.0,0.0,0.0,0.0,2.457877604166667,90.3271484375,2026-03-25 10:08:40
0.018932757733362372,0.0,279.37890625,0.015885416666666666,1024.0,0.0,0.0,0.0,2.2669921875,80.74615885416667,0.03731402779991792,0.0,817.08203125,0.19322916666666667,1024.0,0.0,0.0,0.0,4.2966796875,169.75966796875,0.01863743379999718,0.0,221.125,0.02447916666666667,1024.0,0.0,0.0,0.0,2.540787760416667,88.55042317708333,0.030111213633351026,0.0,371.921875,0.0036458333333333334,1024.0,0.0,0.0,0.0,0.8071940104166667,24.796516927083335,0.021913062166686356,0.0,379.4765625,0.0005208333333333333,1024.0,0.0,0.0,0.0,2.4730794270833334,85.92473958333333,0.030319567066650656,0.0,417.83984375,0.0109375,1024.0,0.0,0.0,0.0,2.457877604166667,90.3271484375,2026-03-25 10:08:45
0.018932757733362372,0.0,279.37890625,0.015885416666666666,1024.0,0.0,0.0,0.0,2.2669921875,80.74615885416667,0.03731402779991792,0.0,817.08203125,0.19322916666666667,1024.0,0.0,0.0,0.0,4.2966796875,169.75966796875,0.01863743379999718,0.0,221.125,0.02447916666666667,1024.0,0.0,0.0,0.0,2.540787760416667,88.55042317708333,0.030111213633351026,0.0,371.921875,0.0036458333333333334,1024.0,0.0,0.0,0.0,0.8071940104166667,24.796516927083335,0.021913062166686356,0.0,379.4765625,0.0005208333333333333,1024.0,0.0,0.0,0.0,2.4730794270833334,85.92473958333333,0.030319567066650656,0.0,417.83984375,0.0109375,1024.0,0.0,0.0,0.0,2.457877604166667,90.3271484375,2026-03-25 10:08:50
0.018932757733362372,0.0,279.37890625,0.015885416666666666,1024.0,0.0,0.0,0.0,2.2669921875,80.74615885416667,0.03731402779991792,0.0,817.08203125,0.19322916666666667,1024.0,0.0,0.0,0.0,4.2966796875,169.75966796875,0.01863743379999718,0.0,221.125,0.02447916666666667,1024.0,0.0,0.0,0.0,2.540787760416667,88.55042317708333,0.030111213633351026,0.0,371.921875,0.0036458333333333334,1024.0,0.0,0.0,0.0,0.8071940104166667,24.796516927083335,0.021913062166686356,0.0,379.4765625,0.0005208333333333333,1024.0,0.0,0.0,0.0,2.4730794270833334,85.92473958333333,0.030319567066650656,0.0,417.83984375,0.0109375,1024.0,0.0,0.0,0.0,2.457877604166667,90.3271484375,2026-03-25 10:08:55
0.018932757733362372,0.0,279.37890625,0.015885416666666666,1024.0,0.0,0.0,0.0,2.2669921875,80.74615885416667,0.03731402779991792,0.0,817.08203125,0.19322916666666667,1024.0,0.0,0.0,0.0,4.2966796875,169.75966796875,0.01863743379999718,0.0,221.125,0.02447916666666667,1024.0,0.0,0.0,0.0,2.540787760416667,88.55042317708333,0.030111213633351026,0.0,371.921875,0.0036458333333333334,1024.0,0.0,0.0,0.0,0.8071940104166667,24.796516927083335,0.021913062166686356,0.0,379.4765625,0.0005208333333333333,1024.0,0.0,0.0,0.0,2.4730794270833334,85.92473958333333,0.030319567066650656,0.0,417.83984375,0.0109375,1024.0,0.0,0.0,0.0,2.457877604166667,90.3271484375,2026-03-25 10:09:00
0.019810400800046563,0.0,279.83203125,0.015104166666666667,1024.0,0.0,0.0,0.0,2.403580729166667,75.74700520833333,0.044408924466673244,0.0,815.88671875,2.97890625,1024.0,0.0,0.0,0.0,4.235677083333333,168.46832682291668,0.013677344833296464,0.0,221.21484375,0.0029947916666666664,1024.0,0.0,0.0,0.0,1.8989583333333333,59.270930989583334,0.025042804233347246,0.0,371.96875,0.0015624999999999999,1024.0,0.0,0.0,0.0,1.39072265625,46.33349609375,0.02296760329998809,0.0,378.9765625,8.763541666666667,1024.0,0.0,0.0,0.0,2.566015625,79.12522786458334,0.028841541000065266,0.0,417.67578125,9.806119791666667,1024.0,0.0,0.0,0.0,2.062272135416667,73.29420572916666,2026-03-25 10:09:05
