Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,133,0,78,133.88642668430012,69.12344899865275,787.5421520002419,2080.0,0.37337888582287837,0.0,78,80,82,84,420,500,540,550,790,790,790
GET,/productpage?u=normal,719,0,520.0,1019.4962327732815,231.242279000071,11269.063574000029,13043.656467315715,2.018491871478568,0.0,520,700,840,930,1600,5200,5700,6000,11000,11000,11000
GET,/productpage?u=test,703,0,560.0,1012.4610665889074,225.2430810003716,9868.617334999726,13085.80654338549,1.9735741107780713,0.0,560,710,850,920,1400,5300,5700,5900,9900,9900,9900
,Aggregated,1555,0,500.0,940.5690134565939,69.12344899865275,11269.063574000029,12124.984565916398,4.365444868079518,0.0,500,680,820,900,1400,5200,5700,5900,11000,11000,11000
