timestamp,details-v1&p50,ratings-v1&p50,reviews-v1&p50,reviews-v2&p50,reviews-v3&p50,details-v1&p90,ratings-v1&p90,reviews-v1&p90,reviews-v2&p90,reviews-v3&p90,details-v1&p99,ratings-v1&p99,reviews-v1&p99,reviews-v2&p99,reviews-v3&p99
2026-03-25 09:41:00,7.5,,,,,9.5,,,,,9.950000000000001,,,,
2026-03-25 09:41:05,7.5,3.0,,,,9.5,4.6,,,,9.950000000000001,4.960000000000001,,,
2026-03-25 09:41:10,7.5,3.0,,,,9.5,4.6,,,,9.950000000000001,4.960000000000001,,,
2026-03-25 09:41:15,,3.0,,,,,4.6,,,,,4.960000000000001,,,
2026-03-25 09:41:20,,3.0,3.0,,75.0,,4.6,4.6,,95.0,,4.960000000000001,4.960000000000001,,99.5
2026-03-25 09:41:25,,3.0,3.0,,75.0,,4.6,4.6,,95.0,,4.960000000000001,4.960000000000001,,99.5
2026-03-25 09:41:30,7.5,3.0,3.0,,75.0,9.5,4.6,4.6,,95.0,9.950000000000001,4.960000000000001,4.960000000000001,,99.5
2026-03-25 09:41:35,7.5,7.5,,,75.0,9.5,9.5,,,95.0,9.950000000000001,9.950000000000001,,,99.5
2026-03-25 09:41:40,7.5,7.5,,,75.0,9.5,9.5,,,95.0,9.950000000000001,9.950000000000001,,,99.5
2026-03-25 09:41:45,7.5,7.5,,,75.0,9.5,9.5,,,95.0,9.950000000000001,9.950000000000001,,,99.5
2026-03-25 09:41:50,7.5,7.5,,,75.0,9.5,9.5,,,95.0,9.950000000000001,9.950000000000001,,,99.5
2026-03-25 09:41:55,7.5,7.5,,,75.0,9.5,9.5,,,95.0,9.950000000000001,9.950000000000001,,,99.5
2026-03-25 09:42:00,10.0,7.5,,,75.0,22.0,9.5,,,95.0,24.700000000000003,9.950000000000001,,,99.5
2026-03-25 09:42:05,10.0,,,,75.0,22.0,,,,95.0,24.700000000000003,,,,99.5
2026-03-25 09:42:10,10.0,,,75.0,75.0,22.0,,,95.0,95.0,24.700000000000003,,,99.5,99.5
2026-03-25 09:42:15,7.5,,,75.0,75.0,9.5,,,95.0,95.0,9.950000000000001,,,99.5,99.5
2026-03-25 09:42:20,7.5,3.0,,75.0,,9.5,4.6,,95.0,,9.950000000000001,4.960000000000001,,99.5,
2026-03-25 09:42:25,7.5,3.0,,,,9.5,4.6,,,,9.950000000000001,4.960000000000001,,,
2026-03-25 09:42:30,7.5,3.0,,,,9.5,4.6,,,,9.950000000000001,4.960000000000001,,,
